"arate.mean","arate.sd","arate.l","arate.u","arate.q5","arate.q95","aomega.mean","aomega.sd","aomega.l","aomega.u","aomega.q5","aomega.q95"
0.000448352157121558,4.39246592520337e-05,0.000366664240055522,0.000535437524589727,0.000381782990197027,0.000524734934967302,2.17753783279312,0.464659758641428,1.29416193686144,3.0973948736255,1.49999222194164,3.00765713963561
0.00052004507194185,4.79806579597504e-05,0.000431282875406228,0.000618704732706798,0.000445177782305962,0.000601982208409049,2.55018882818641,0.538613241388022,1.58388980446358,3.64042474034553,1.765407992068,3.49747385744763
0.000481638187402167,4.61617003739763e-05,0.000393091533158456,0.000571954989199926,0.000410234912774337,0.00056193053278686,2.03134105485524,0.442182305142518,1.22204332900078,2.9085151747322,1.38522265238015,2.81831144061382
0.000501965655132296,4.68605271391802e-05,0.000415642799429261,0.000599637872526249,0.000428388705343778,0.000582128499586015,2.42617583143604,0.47080024935862,1.58145766228572,3.38202369729131,1.73115453628677,3.24742522448795
0.000497584473240359,5.202963090624e-05,0.000401185777564598,0.000602564320636344,0.00041775715001471,0.000588832046205132,3.33693935855165,0.613264813687925,2.21194561886154,4.52482889405882,2.43575613770091,4.4119053160675
0.000462089733118298,4.61653096567448e-05,0.00037584179768236,0.0005559423000936,0.000389094556740441,0.000541418560121096,2.7555851625621,0.537720690512882,1.7519983668943,3.80061428440794,1.96007559879246,3.69989438798843
0.000501380209250278,4.92032317781792e-05,0.000405119889878986,0.000595202409778644,0.000425601084923992,0.000585638076482783,2.71713776279753,0.536608851086933,1.72311481985541,3.80132074360899,1.92312378022102,3.69913281044909
0.000473357330052361,4.84262297833384e-05,0.000380190076253234,0.000568215818567083,0.000397090204477119,0.000555336820083741,2.96166565806401,0.641302417738303,1.80258667300986,4.25258568648612,2.01662476416193,4.11383397556593
0.000424647260332787,4.68092704810748e-05,0.000338288546327151,0.000521213125083559,0.000353437821969446,0.000506737185523914,3.55840231031511,0.712275019289575,2.29312418466507,4.97397843705935,2.53243120630844,4.83903292108766
0.000427451320228279,4.04775709386684e-05,0.000352680057089818,0.000508695020858539,0.000364627398421873,0.000497455726981897,2.24118775679198,0.476650824247121,1.3865328782616,3.19690878403043,1.52529628668269,3.0837594493587
0.000423665933358918,4.1470955338233e-05,0.00034698938055892,0.00050974950718467,0.000359957209897498,0.000495863236008499,2.41559536482349,0.499372294283934,1.5259824100789,3.43429518098166,1.67982051172868,3.30777465094588
0.000555683270723599,5.69089423360684e-05,0.000443618002216543,0.000663973088864607,0.000466840036242222,0.000652579725845128,3.51063718881898,0.631361884622801,2.37318750592945,4.74000080440272,2.61918867074444,4.62445664077857
