#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="coalescent" spec="beast.evolution.tree.coalescent.Coalescent">
#        <populationModel id="ConstantPopulation" spec="beast.evolution.tree.coalescent.ConstantPopulation">
#            <parameter id="popSize" name="popSize" spec="beast.core.parameter.RealParameter">1.0</parameter>
#        </populationModel>
#        <treeIntervals id="TreeIntervals" spec="beast.evolution.tree.coalescent.TreeIntervals">
#            <tree clusterType="upgma" id="tree" spec="beast.util.ClusterTree">
#            </tree>
#        </treeIntervals>
#    </distribution>
#    <distribution data="@alignment" id="treeLikelihood" spec="beast.evolution.likelihood.TreeLikelihood" tree="@tree">
#        <siteModel id="siteModel" spec="beast.evolution.sitemodel.SiteModel">
#            <substModel id="hky" spec="beast.evolution.substitutionmodel.HKY">
#                <parameter id="hky.kappa" name="kappa" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <frequencies data="@alignment" id="freqs" spec="beast.evolution.substitutionmodel.Frequencies"/>
#            </substModel>
#        </siteModel>
#        <branchRateModel id="branchRates" spec="beast.evolution.branchratemodel.RandomLocalClockModel" tree="@tree">
#            <indicators dimension="10" id="indicators" spec="beast.core.parameter.BooleanParameter">false</indicators>
#            <parameter dimension="10" id="rates" lower="0.0" name="rates" spec="beast.core.parameter.RealParameter" upper="100.0">1.0</parameter>
#        </branchRateModel>
#    </distribution>
#</input>
#
Sample	coalescent	treeLikelihood	tree.height	popSize	hky.kappa	indicators1	indicators2	indicators3	indicators4	indicators5	indicators6	indicators7	indicators8	indicators9	indicators10	rates1	rates2	rates3	rates4	rates5	rates6	rates7	rates8	rates9	rates10	posterior
3000	3.385950922385126	-1816.1127098193913	0.05640116084987409	0.41175347256536404	24.255466025272277	0	0	0	0	0	0	0	0	1	0	0.4728411018553114	1.6894611419009729	4.211180770790502	3.735899629447194	1.0282617921993165	1.6048568111734747	3.20295216698999	0.8602108945599553	0.8043472451942553	6.183572233307013	-1812.7267588970062
3100	5.373752691493051	-1812.9520158190016	0.05640116084987409	0.23640490172344641	26.459190043167958	0	0	0	0	0	0	0	0	1	0	0.4431825031770526	2.292894238736516	4.211180770790502	3.1643114028817965	1.0113226455466706	1.6048568111734747	3.20295216698999	0.8602108945599553	0.7916400730248686	6.183572233307013	-1807.5782631275085
3200	4.9789564348377375	-1815.971663567803	0.05640116084987409	0.27035692228202357	26.459190043167958	0	0	0	0	0	0	0	0	0	0	0.4431825031770526	2.292894238736516	3.9767506246903928	3.1643114028817965	1.0113226455466706	1.6048568111734747	2.9781044640029553	0.8602108945599553	1.1052974098915667	6.183572233307013	-1810.9927071329653
3300	6.985647667957366	-1814.326545264925	0.05640116084987409	0.14418387300450852	28.103581451716572	0	0	0	0	0	0	0	0	0	0	0.4431825031770526	2.292894238736516	7.694334938877035	3.1643114028817965	1.0113226455466706	2.161212845167762	2.9781044640029553	0.8602108945599553	0.9181308173673945	6.183572233307013	-1807.3408975969676
3400	8.022607557382816	-1817.3414556630285	0.05640116084987409	0.10281127730198834	50.32773222356709	0	0	0	0	0	0	0	0	1	0	0.4431825031770526	2.292894238736516	7.694334938877035	3.1643114028817965	1.0113226455466706	2.161212845167762	2.9781044640029553	0.8602108945599553	0.9181308173673945	6.183572233307013	-1809.3188481056457
3500	7.985659467488645	-1816.9626961049682	0.05640116084987409	0.10961203396180695	35.56299695735323	0	0	0	0	0	0	0	0	1	0	0.4431825031770526	3.0839746250034605	5.539965742046707	4.044283668868583	1.551770454055195	2.161212845167762	1.098142275629186	0.6608597876918221	0.9181308173673945	6.183572233307013	-1808.9770366374796
3600	6.946470464219917	-1814.934408314351	0.05640116084987409	0.144302523758073	24.17622377599019	0	0	0	0	0	0	0	0	1	0	0.4431825031770526	5.3253541081963585	6.179442801071287	6.989647899482106	1.551770454055195	2.161212845167762	1.098142275629186	0.6608597876918221	0.9181308173673945	6.183572233307013	-1807.9879378501312
3700	7.968788206675043	-1813.6085708857847	0.0575189065827829	0.09006552298355244	24.17622377599019	0	0	0	0	0	0	0	0	1	0	0.4431825031770526	5.3253541081963585	6.179442801071287	6.989647899482106	1.551770454055195	2.0771154026507253	1.098142275629186	0.6608597876918221	0.9181308173673945	6.183572233307013	-1805.6397826791097
3800	7.255716417634153	-1813.6696090994576	0.06595011719273369	0.07091675835149545	27.432164601390248	0	0	0	0	0	0	0	0	0	0	0.4431825031770526	5.3253541081963585	6.179442801071287	6.989647899482106	1.551770454055195	2.0771154026507253	0.5707854448118919	0.6608597876918221	0.9181308173673945	6.183572233307013	-1806.4138926818234
3900	7.682652382377546	-1814.6547378277826	0.06151109491806112	0.12378745825133622	29.4748323049052	0	0	0	0	1	0	0	0	0	0	0.4431825031770526	5.3253541081963585	6.179442801071287	6.989647899482106	1.551770454055195	1.8401080423988567	0.5707854448118919	0.7225410266837743	0.9181308173673945	6.183572233307013	-1806.9720854454051
4000	5.809129091491685	-1815.1127363308747	0.06219283609994343	0.21015405908308651	35.6105568757669	0	0	0	0	0	0	0	0	0	0	0.4431825031770526	5.3253541081963585	6.179442801071287	3.2736635861011174	1.551770454055195	1.8401080423988567	0.5707854448118919	0.7225410266837743	0.9181308173673945	5.37862505111774	-1809.303607239383
4100	6.270446609543741	-1813.8954379549352	0.05793741603142205	0.19927062217927116	32.947652790544616	0	0	0	0	0	0	0	0	0	0	0.4431825031770526	5.3253541081963585	6.179442801071287	3.2736635861011174	1.551770454055195	1.8401080423988567	0.5707854448118919	0.7225410266837743	0.9181308173673945	2.993058737882941	-1807.6249913453914
4200	7.862082329335974	-1813.0983642841752	0.05793741603142205	0.09971613055407284	27.831576094115192	0	0	0	0	0	0	0	0	0	0	0.4431825031770526	5.3253541081963585	6.179442801071287	3.2736635861011174	1.551770454055195	1.5604582899907296	0.34640300011437797	1.1132837022825217	0.9181308173673945	1.9546439759009069	-1805.2362819548393
4300	7.866335459176236	-1814.4725678421912	0.05793741603142205	0.07991488997959151	17.991928371880586	0	0	0	0	0	0	0	0	0	0	0.4431825031770526	5.3253541081963585	6.942049973010514	2.679333868170551	1.9045518942469648	1.5604582899907296	0.34640300011437797	1.1132837022825217	0.9181308173673945	1.9546439759009069	-1806.606232383015
4400	8.131236481889507	-1814.8841666798758	0.05793741603142205	0.06574941369616039	31.17449774182497	0	0	0	0	0	0	0	0	0	0	0.4024067547592603	3.47129678281406	4.344734589002857	2.679333868170551	1.9045518942469648	1.5604582899907296	0.34640300011437797	1.1132837022825217	1.4911716752416573	1.9546439759009069	-1806.7529301979862
4500	7.250620805372071	-1816.8798317272378	0.07064227961577792	0.06574941369616039	28.95410404679509	0	0	0	0	0	0	0	0	0	0	0.4024067547592603	3.47129678281406	4.344734589002857	5.040735609941506	1.9045518942469648	1.5604582899907296	0.34640300011437797	1.1132837022825217	1.4911716752416573	1.9157049900901804	-1809.6292109218657
4600	6.576911898043552	-1818.0586275604926	0.07064227961577792	0.12809953006629718	27.92055516082146	0	0	0	0	0	0	0	0	0	0	0.4024067547592603	3.3583116317495887	5.850915135883811	7.094810744765646	1.9045518942469648	1.00125866175757	0.34640300011437797	0.7704339423558145	1.4911716752416573	1.9157049900901804	-1811.481715662449
